match_id,tournament,team_A,team_B,actual_score_A,actual_score_B,status
37,FIFA World Cup 2026,Uruguay,Cape Verde,,,Pending
38,FIFA World Cup 2026,Spain,Saudi Arabia,,,Pending
39,FIFA World Cup 2026,Belgium,Iran,,,Pending
40,FIFA World Cup 2026,New Zealand,Egypt,,,Pending
41,FIFA World Cup 2026,Norway,Senegal,,,Pending
42,FIFA World Cup 2026,France,Iraq,,,Pending
43,FIFA World Cup 2026,Argentina,Austria,,,Pending
44,FIFA World Cup 2026,Jordan,Algeria,,,Pending
45,FIFA World Cup 2026,Portugal,Uzbekistan,,,Pending
46,FIFA World Cup 2026,Colombia,Congo DR,,,Pending
47,FIFA World Cup 2026,England,Ghana,,,Pending
48,FIFA World Cup 2026,Panama,Croatia,,,Pending
49,FIFA World Cup 2026,South Africa,South Korea,,,Pending
50,FIFA World Cup 2026,Czechia,Mexico,,,Pending
51,FIFA World Cup 2026,Bosnia and Herzegovina,Qatar,,,Pending
52,FIFA World Cup 2026,Switzerland,Canada,,,Pending
53,FIFA World Cup 2026,Morocco,Haiti,,,Pending
54,FIFA World Cup 2026,Scotland,Brazil,,,Pending
55,FIFA World Cup 2026,Paraguay,Australia,,,Pending
56,FIFA World Cup 2026,Türkiye,USA,,,Pending
57,FIFA World Cup 2026,Curaçao,Ivory Coast,,,Pending
58,FIFA World Cup 2026,Ecuador,Germany,,,Pending
59,FIFA World Cup 2026,Japan,Sweden,,,Pending
60,FIFA World Cup 2026,Tunisia,Netherlands,,,Pending
61,FIFA World Cup 2026,Egypt,Iran,,,Pending
62,FIFA World Cup 2026,New Zealand,Belgium,,,Pending
63,FIFA World Cup 2026,Cape Verde,Saudi Arabia,,,Pending
64,FIFA World Cup 2026,Uruguay,Spain,,,Pending
65,FIFA World Cup 2026,Senegal,Iraq,,,Pending
66,FIFA World Cup 2026,Norway,France,,,Pending
67,FIFA World Cup 2026,Algeria,Austria,,,Pending
68,FIFA World Cup 2026,Jordan,Argentina,,,Pending
69,FIFA World Cup 2026,Congo DR,Uzbekistan,,,Pending
70,FIFA World Cup 2026,Colombia,Portugal,,,Pending
71,FIFA World Cup 2026,Croatia,Ghana,,,Pending
72,FIFA World Cup 2026,Panama,England,,,Pending
73,FIFA World Cup 2026,Winner Group A,Runner-up Group C,,,Pending
74,FIFA World Cup 2026,Runner-up Group A,Runner-up Group B,,,Pending
75,FIFA World Cup 2026,Winner Group B,3rd Group A/B/C,,,Pending
76,FIFA World Cup 2026,Winner Group C,3rd Group D/E/F,,,Pending
77,FIFA World Cup 2026,Winner Group F,Runner-up Group F,,,Pending
78,FIFA World Cup 2026,Winner Group D,3rd Group G/H/I,,,Pending
79,FIFA World Cup 2026,Winner Group E,Runner-up Group D,,,Pending
80,FIFA World Cup 2026,Winner Group G,3rd Group J/K/L,,,Pending
81,FIFA World Cup 2026,Winner Group H,Runner-up Group E,,,Pending
82,FIFA World Cup 2026,Winner Group I,Runner-up Group G,,,Pending
83,FIFA World Cup 2026,Winner Group J,Runner-up Group H,,,Pending
84,FIFA World Cup 2026,Winner Group K,Runner-up Group I,,,Pending
85,FIFA World Cup 2026,Winner Group L,Runner-up Group J,,,Pending
86,FIFA World Cup 2026,Runner-up Group K,Runner-up Group L,,,Pending
87,FIFA World Cup 2026,3rd Group B/C/F,3rd Group A/D/E,,,Pending
88,FIFA World Cup 2026,3rd Group G/H/K,3rd Group I/J/L,,,Pending
89,FIFA World Cup 2026,Winner Match 73,Winner Match 75,,,Pending
90,FIFA World Cup 2026,Winner Match 74,Winner Match 76,,,Pending
91,FIFA World Cup 2026,Winner Match 77,Winner Match 79,,,Pending
92,FIFA World Cup 2026,Winner Match 78,Winner Match 80,,,Pending
93,FIFA World Cup 2026,Winner Match 81,Winner Match 83,,,Pending
94,FIFA World Cup 2026,Winner Match 82,Winner Match 84,,,Pending
95,FIFA World Cup 2026,Winner Match 85,Winner Match 87,,,Pending
96,FIFA World Cup 2026,Winner Match 86,Winner Match 88,,,Pending
97,FIFA World Cup 2026,Winner Match 89,Winner Match 90,,,Pending
98,FIFA World Cup 2026,Winner Match 91,Winner Match 92,,,Pending
99,FIFA World Cup 2026,Winner Match 93,Winner Match 94,,,Pending
100,FIFA World Cup 2026,Winner Match 95,Winner Match 96,,,Pending
101,FIFA World Cup 2026,Winner Match 97,Winner Match 98,,,Pending
102,FIFA World Cup 2026,Winner Match 99,Winner Match 100,,,Pending
103,FIFA World Cup 2026,Loser Match 101,Loser Match 102,,,Pending
104,FIFA World Cup 2026,Winner Match 101,Winner Match 102,,,Pending
